station_56_total_wait_time,station_56_average_wait_time,station_56_num_valid_pairs,station_88_total_wait_time,station_88_average_wait_time,station_88_num_valid_pairs,station_59_total_wait_time,station_59_average_wait_time,station_59_num_valid_pairs,station_27_total_wait_time,station_27_average_wait_time,station_27_num_valid_pairs,total_wait_time_all_stations,average_wait_time_stations,total_valid_pairs,average_wait_time_lines,bb_stop_time,bb_hub_stop_time,bb_transfer_stop_time,rb_stop_time,rb_transfer_stop_time,rb_56_departure_time
2640.0,330.0,8,2640.0,330.0,8,2640.0,330.0,8,2640.0,330.0,8,10560.0,2640.0,32,330.0,30,60,60,30,60,3030
1440.0,180.0,8,2640.0,330.0,8,2640.0,330.0,8,2640.0,330.0,8,9360.0,2340.0,32,292.5,30,60,60,30,60,3060
1440.0,180.0,8,2040.0,255.0,8,2640.0,330.0,8,2040.0,255.0,8,8160.0,2040.0,32,255.0,30,60,60,30,60,3090
1440.0,180.0,8,2040.0,255.0,8,2640.0,330.0,8,2040.0,255.0,8,8160.0,2040.0,32,255.0,30,60,60,30,60,3120
2640.0,330.0,8,2040.0,255.0,8,2640.0,330.0,8,2040.0,255.0,8,9360.0,2340.0,32,292.5,30,60,60,30,60,3150
2640.0,330.0,8,2640.0,330.0,8,2640.0,330.0,8,2640.0,330.0,8,10560.0,2640.0,32,330.0,30,60,60,30,60,3180
2640.0,330.0,8,2040.0,255.0,8,2640.0,330.0,8,2040.0,255.0,8,9360.0,2340.0,32,292.5,30,60,60,30,60,3210
1440.0,180.0,8,2040.0,255.0,8,2640.0,330.0,8,2040.0,255.0,8,8160.0,2040.0,32,255.0,30,60,60,30,60,3240
1440.0,180.0,8,2040.0,255.0,8,2640.0,330.0,8,2040.0,255.0,8,8160.0,2040.0,32,255.0,30,60,60,30,60,3270
1440.0,180.0,8,2640.0,330.0,8,2640.0,330.0,8,2640.0,330.0,8,9360.0,2340.0,32,292.5,30,60,60,30,60,3300
2640.0,330.0,8,2640.0,330.0,8,2640.0,330.0,8,2640.0,330.0,8,10560.0,2640.0,32,330.0,30,60,60,30,60,3330
2640.0,330.0,8,2640.0,330.0,8,1440.0,180.0,8,2640.0,330.0,8,9360.0,2340.0,32,292.5,30,60,60,30,60,3360
2640.0,330.0,8,2040.0,255.0,8,1440.0,180.0,8,2040.0,255.0,8,8160.0,2040.0,32,255.0,30,60,60,30,60,3390
2640.0,330.0,8,2040.0,255.0,8,1440.0,180.0,8,2040.0,255.0,8,8160.0,2040.0,32,255.0,30,60,60,30,60,3420
2640.0,330.0,8,2040.0,255.0,8,2640.0,330.0,8,2040.0,255.0,8,9360.0,2340.0,32,292.5,30,60,60,30,60,3450
2640.0,330.0,8,2640.0,330.0,8,2640.0,330.0,8,2640.0,330.0,8,10560.0,2640.0,32,330.0,30,60,60,30,60,3480
2640.0,330.0,8,2040.0,255.0,8,2640.0,330.0,8,2040.0,255.0,8,9360.0,2340.0,32,292.5,30,60,60,30,60,3510
2640.0,330.0,8,2040.0,255.0,8,1440.0,180.0,8,2040.0,255.0,8,8160.0,2040.0,32,255.0,30,60,60,30,60,3540
2640.0,330.0,8,2040.0,255.0,8,1440.0,180.0,8,2040.0,255.0,8,8160.0,2040.0,32,255.0,30,60,60,30,60,3570
2640.0,330.0,8,2640.0,330.0,8,1440.0,180.0,8,2640.0,330.0,8,9360.0,2340.0,32,292.5,30,60,60,30,60,3600
2640.0,330.0,8,2640.0,330.0,8,2640.0,330.0,8,2640.0,330.0,8,10560.0,2640.0,32,330.0,30,60,60,30,60,3630
2280.0,285.0,8,2760.0,345.0,8,2760.0,345.0,8,2760.0,345.0,8,10560.0,2640.0,32,330.0,30,60,60,30,90,3030
2280.0,285.0,8,2160.0,270.0,8,2760.0,345.0,8,2160.0,270.0,8,9360.0,2340.0,32,292.5,30,60,60,30,90,3060
2280.0,285.0,8,2160.0,270.0,8,2760.0,345.0,8,2160.0,270.0,8,9360.0,2340.0,32,292.5,30,60,60,30,90,3090
2280.0,285.0,8,1560.0,195.0,8,2760.0,345.0,8,1560.0,195.0,8,8160.0,2040.0,32,255.0,30,60,60,30,90,3120
2280.0,285.0,8,1560.0,195.0,8,2760.0,345.0,8,1560.0,195.0,8,8160.0,2040.0,32,255.0,30,60,60,30,90,3150
2280.0,285.0,8,2160.0,270.0,8,2760.0,345.0,8,2160.0,270.0,8,9360.0,2340.0,32,292.5,30,60,60,30,90,3180
2280.0,285.0,8,2160.0,270.0,8,2760.0,345.0,8,2160.0,270.0,8,9360.0,2340.0,32,292.5,30,60,60,30,90,3210
