trip_id,stop_id,arrival_time,departure_time,stop_sequence
7-0-47,0-4,00:08:00,00:08:00,1
7-0-47,11-4,00:09:30,00:09:30,2
7-0-47,12-4,00:11:00,00:11:00,3
7-0-47,23-4,00:12:30,00:12:30,4
7-0-47,24-4,00:14:00,00:14:00,5
7-0-47,35-4,00:15:30,00:15:30,6
7-0-47,36-4,00:17:00,00:17:00,7
7-0-47,47-4,00:18:30,00:18:30,8
7-0-47,48-4,00:20:00,00:20:00,9
7-0-47,117-4,00:21:30,00:21:30,10
7-0-47,A-4,00:23:00,00:23:00,11
7-0-47,118-4,00:24:30,00:24:30,12
7-0-47,67-4,00:26:00,00:26:00,13
7-0-47,68-4,00:27:30,00:27:30,14
7-0-47,79-4,00:29:00,00:29:00,15
7-0-47,80-4,00:30:30,00:30:30,16
7-0-47,91-4,00:32:00,00:32:00,17
7-0-47,92-4,00:33:30,00:33:30,18
7-0-47,103-4,00:35:00,00:35:00,19
7-0-47,104-4,00:36:30,00:36:30,20
7-0-47,115-4,00:38:00,00:38:00,21
7-0-46,0-4,00:18:00,00:18:00,1
7-0-46,11-4,00:19:30,00:19:30,2
7-0-46,12-4,00:21:00,00:21:00,3
7-0-46,23-4,00:22:30,00:22:30,4
7-0-46,24-4,00:24:00,00:24:00,5
7-0-46,35-4,00:25:30,00:25:30,6
7-0-46,36-4,00:27:00,00:27:00,7
7-0-46,47-4,00:28:30,00:28:30,8
7-0-46,48-4,00:30:00,00:30:00,9
7-0-46,117-4,00:31:30,00:31:30,10
7-0-46,A-4,00:33:00,00:33:00,11
7-0-46,118-4,00:34:30,00:34:30,12
7-0-46,67-4,00:36:00,00:36:00,13
7-0-46,68-4,00:37:30,00:37:30,14
7-0-46,79-4,00:39:00,00:39:00,15
7-0-46,80-4,00:40:30,00:40:30,16
7-0-46,91-4,00:42:00,00:42:00,17
7-0-46,92-4,00:43:30,00:43:30,18
7-0-46,103-4,00:45:00,00:45:00,19
7-0-46,104-4,00:46:30,00:46:30,20
7-0-46,115-4,00:48:00,00:48:00,21
7-0-45,0-4,00:28:00,00:28:00,1
7-0-45,11-4,00:29:30,00:29:30,2
7-0-45,12-4,00:31:00,00:31:00,3
7-0-45,23-4,00:32:30,00:32:30,4
7-0-45,24-4,00:34:00,00:34:00,5
7-0-45,35-4,00:35:30,00:35:30,6
7-0-45,36-4,00:37:00,00:37:00,7
7-0-45,47-4,00:38:30,00:38:30,8
7-0-45,48-4,00:40:00,00:40:00,9
7-0-45,117-4,00:41:30,00:41:30,10
7-0-45,A-4,00:43:00,00:43:00,11
7-0-45,118-4,00:44:30,00:44:30,12
7-0-45,67-4,00:46:00,00:46:00,13
7-0-45,68-4,00:47:30,00:47:30,14
7-0-45,79-4,00:49:00,00:49:00,15
7-0-45,80-4,00:50:30,00:50:30,16
7-0-45,91-4,00:52:00,00:52:00,17
7-0-45,92-4,00:53:30,00:53:30,18
7-0-45,103-4,00:55:00,00:55:00,19
7-0-45,104-4,00:56:30,00:56:30,20
7-0-45,115-4,00:58:00,00:58:00,21
7-0-44,0-4,00:38:00,00:38:00,1
7-0-44,11-4,00:39:30,00:39:30,2
7-0-44,12-4,00:41:00,00:41:00,3
7-0-44,23-4,00:42:30,00:42:30,4
7-0-44,24-4,00:44:00,00:44:00,5
7-0-44,35-4,00:45:30,00:45:30,6
7-0-44,36-4,00:47:00,00:47:00,7
7-0-44,47-4,00:48:30,00:48:30,8
7-0-44,48-4,00:50:00,00:50:00,9
7-0-44,117-4,00:51:30,00:51:30,10
7-0-44,A-4,00:53:00,00:53:00,11
7-0-44,118-4,00:54:30,00:54:30,12
7-0-44,67-4,00:56:00,00:56:00,13
7-0-44,68-4,00:57:30,00:57:30,14
7-0-44,79-4,00:59:00,00:59:00,15
7-0-44,80-4,01:00:30,01:00:30,16
7-0-44,91-4,01:02:00,01:02:00,17
7-0-44,92-4,01:03:30,01:03:30,18
7-0-44,103-4,01:05:00,01:05:00,19
7-0-44,104-4,01:06:30,01:06:30,20
7-0-44,115-4,01:08:00,01:08:00,21
7-0-0,0-4,00:48:00,00:48:00,1
7-0-0,11-4,00:49:30,00:49:30,2
7-0-0,12-4,00:51:00,00:51:00,3
7-0-0,23-4,00:52:30,00:52:30,4
7-0-0,24-4,00:54:00,00:54:00,5
7-0-0,35-4,00:55:30,00:55:30,6
7-0-0,36-4,00:57:00,00:57:00,7
7-0-0,47-4,00:58:30,00:58:30,8
7-0-0,48-4,01:00:00,01:00:00,9
7-0-0,117-4,01:01:30,01:01:30,10
7-0-0,A-4,01:03:00,01:03:00,11
7-0-0,118-4,01:04:30,01:04:30,12
7-0-0,67-4,01:06:00,01:06:00,13
7-0-0,68-4,01:07:30,01:07:30,14
7-0-0,79-4,01:09:00,01:09:00,15
7-0-0,80-4,01:10:30,01:10:30,16
