trip_id,stop_id,arrival_time,departure_time,stop_sequence
5-0-47,56-3,00:09:20,00:09:30,1
5-0-47,46-3,00:11:00,00:11:10,2
5-0-47,35-3,00:12:40,00:12:50,3
5-0-47,24-3,00:14:20,00:14:30,4
5-0-47,25-3,00:16:00,00:16:10,5
5-0-47,26-3,00:17:40,00:17:50,6
5-0-47,27-3,00:19:20,00:19:30,7
5-0-47,28-3,00:21:00,00:21:10,8
5-0-47,29-3,00:22:40,00:22:50,9
5-0-47,30-3,00:24:20,00:24:30,10
5-0-47,41-3,00:26:00,00:26:10,11
5-0-47,51-3,00:27:40,00:27:50,12
5-0-47,59-3,00:29:20,00:29:30,13
5-0-47,69-3,00:31:00,00:31:10,14
5-0-47,80-3,00:32:40,00:32:50,15
5-0-47,91-3,00:34:20,00:34:30,16
5-0-47,90-3,00:36:00,00:36:10,17
5-0-47,89-3,00:37:40,00:37:50,18
5-0-47,88-3,00:39:20,00:39:30,19
5-0-47,87-3,00:41:00,00:41:10,20
5-0-47,86-3,00:42:40,00:42:50,21
5-0-47,85-3,00:44:20,00:44:30,22
5-0-47,74-3,00:46:00,00:46:10,23
5-0-47,64-3,00:47:40,00:47:50,24
5-0-46,56-3,00:19:20,00:19:30,1
5-0-46,46-3,00:21:00,00:21:10,2
5-0-46,35-3,00:22:40,00:22:50,3
5-0-46,24-3,00:24:20,00:24:30,4
5-0-46,25-3,00:26:00,00:26:10,5
5-0-46,26-3,00:27:40,00:27:50,6
5-0-46,27-3,00:29:20,00:29:30,7
5-0-46,28-3,00:31:00,00:31:10,8
5-0-46,29-3,00:32:40,00:32:50,9
5-0-46,30-3,00:34:20,00:34:30,10
5-0-46,41-3,00:36:00,00:36:10,11
5-0-46,51-3,00:37:40,00:37:50,12
5-0-46,59-3,00:39:20,00:39:30,13
5-0-46,69-3,00:41:00,00:41:10,14
5-0-46,80-3,00:42:40,00:42:50,15
5-0-46,91-3,00:44:20,00:44:30,16
5-0-46,90-3,00:46:00,00:46:10,17
5-0-46,89-3,00:47:40,00:47:50,18
5-0-46,88-3,00:49:20,00:49:30,19
5-0-46,87-3,00:51:00,00:51:10,20
5-0-46,86-3,00:52:40,00:52:50,21
5-0-46,85-3,00:54:20,00:54:30,22
5-0-46,74-3,00:56:00,00:56:10,23
5-0-46,64-3,00:57:40,00:57:50,24
5-0-45,56-3,00:29:20,00:29:30,1
5-0-45,46-3,00:31:00,00:31:10,2
5-0-45,35-3,00:32:40,00:32:50,3
5-0-45,24-3,00:34:20,00:34:30,4
5-0-45,25-3,00:36:00,00:36:10,5
5-0-45,26-3,00:37:40,00:37:50,6
5-0-45,27-3,00:39:20,00:39:30,7
5-0-45,28-3,00:41:00,00:41:10,8
5-0-45,29-3,00:42:40,00:42:50,9
5-0-45,30-3,00:44:20,00:44:30,10
5-0-45,41-3,00:46:00,00:46:10,11
5-0-45,51-3,00:47:40,00:47:50,12
5-0-45,59-3,00:49:20,00:49:30,13
5-0-45,69-3,00:51:00,00:51:10,14
5-0-45,80-3,00:52:40,00:52:50,15
5-0-45,91-3,00:54:20,00:54:30,16
5-0-45,90-3,00:56:00,00:56:10,17
5-0-45,89-3,00:57:40,00:57:50,18
5-0-45,88-3,00:59:20,00:59:30,19
5-0-45,87-3,01:01:00,01:01:10,20
5-0-45,86-3,01:02:40,01:02:50,21
5-0-45,85-3,01:04:20,01:04:30,22
5-0-45,74-3,01:06:00,01:06:10,23
5-0-45,64-3,01:07:40,01:07:50,24
5-0-44,56-3,00:39:20,00:39:30,1
5-0-44,46-3,00:41:00,00:41:10,2
5-0-44,35-3,00:42:40,00:42:50,3
5-0-44,24-3,00:44:20,00:44:30,4
5-0-44,25-3,00:46:00,00:46:10,5
5-0-44,26-3,00:47:40,00:47:50,6
5-0-44,27-3,00:49:20,00:49:30,7
5-0-44,28-3,00:51:00,00:51:10,8
5-0-44,29-3,00:52:40,00:52:50,9
5-0-44,30-3,00:54:20,00:54:30,10
5-0-44,41-3,00:56:00,00:56:10,11
5-0-44,51-3,00:57:40,00:57:50,12
5-0-44,59-3,00:59:20,00:59:30,13
5-0-44,69-3,01:01:00,01:01:10,14
5-0-44,80-3,01:02:40,01:02:50,15
5-0-44,91-3,01:04:20,01:04:30,16
5-0-44,90-3,01:06:00,01:06:10,17
5-0-44,89-3,01:07:40,01:07:50,18
5-0-44,88-3,01:09:20,01:09:30,19
5-0-44,87-3,01:11:00,01:11:10,20
5-0-44,86-3,01:12:40,01:12:50,21
5-0-44,85-3,01:14:20,01:14:30,22
5-0-44,74-3,01:16:00,01:16:10,23
5-0-44,64-3,01:17:40,01:17:50,24
5-0-43,56-3,00:49:20,00:49:30,1
5-0-43,46-3,00:51:00,00:51:10,2
5-0-43,35-3,00:52:40,00:52:50,3
5-0-43,24-3,00:54:20,00:54:30,4
5-0-43,25-3,00:56:00,00:56:10,5
5-0-43,26-3,00:57:40,00:57:50,6
5-0-43,27-3,00:59:20,00:59:30,7
5-0-43,28-3,01:01:00,01:01:10,8
5-0-43,29-3,01:02:40,01:02:50,9
5-0-43,30-3,01:04:20,01:04:30,10
5-0-43,41-3,01:06:00,01:06:10,11
5-0-43,51-3,01:07:40,01:07:50,12
5-0-43,59-3,01:09:20,01:09:30,13
5-0-43,69-3,01:11:00,01:11:10,14
5-0-43,80-3,01:12:40,01:12:50,15
5-0-43,91-3,01:14:20,01:14:30,16
5-0-43,90-3,01:16:00,01:16:10,17
5-0-43,89-3,01:17:40,01:17:50,18
5-0-43,88-3,01:19:20,01:19:30,19
5-0-43,87-3,01:21:00,01:21:10,20
5-0-43,86-3,01:22:40,01:22:50,21
5-0-43,85-3,01:24:20,01:24:30,22
5-0-43,74-3,01:26:00,01:26:10,23
5-0-43,64-3,01:27:40,01:27:50,24
5-0-42,56-3,00:59:20,00:59:30,1
5-0-42,46-3,01:01:00,01:01:10,2
5-0-42,35-3,01:02:40,01:02:50,3
5-0-42,24-3,01:04:20,01:04:30,4
5-0-42,25-3,01:06:00,01:06:10,5
5-0-42,26-3,01:07:40,01:07:50,6
5-0-42,27-3,01:09:20,01:09:30,7
5-0-42,28-3,01:11:00,01:11:10,8
5-0-42,29-3,01:12:40,01:12:50,9
5-0-42,30-3,01:14:20,01:14:30,10
5-0-42,41-3,01:16:00,01:16:10,11
5-0-42,51-3,01:17:40,01:17:50,12
5-0-42,59-3,01:19:20,01:19:30,13
5-0-42,69-3,01:21:00,01:21:10,14
