node_id,closest_station_id,street_station_transfer_time
0,0,60
5,5,60
9,9,60
10,10,60
11,11,60
12,12,60
16,16,60
19,19,60
20,20,60
23,23,60
24,24,60
25,25,60
26,26,60
27,27,60
28,28,60
29,29,60
30,30,60
35,35,60
36,36,60
38,38,60
39,39,60
40,40,60
41,41,60
46,46,60
47,47,60
48,48,60
49,49,60
51,51,60
54,54,60
55,55,60
56,56,60
57,57,60
58,58,60
59,59,60
60,60,60
61,61,60
64,64,60
66,66,60
67,67,60
68,68,60
69,69,60
74,74,60
75,75,60
76,76,60
77,77,60
79,79,60
80,80,60
85,85,60
86,86,60
87,87,60
88,88,60
89,89,60
90,90,60
91,91,60
92,92,60
95,95,60
96,96,60
99,99,60
103,103,60
104,104,60
105,105,60
106,106,60
110,110,60
115,115,60
116,116,60
117,117,60
118,118,60
119,119,60
120,A,60
121,121,60
126,126,60
130,130,60
131,131,60
132,132,60
133,133,60
137,137,60
140,140,60
141,141,60
144,144,60
145,145,60
146,146,60
147,147,60
148,148,60
149,149,60
150,150,60
151,151,60
156,156,60
157,157,60
159,159,60
160,160,60
161,161,60
162,162,60
167,167,60
168,168,60
169,169,60
170,170,60
172,172,60
175,175,60
176,176,60
177,177,60
178,178,60
179,179,60
180,180,60
181,181,60
182,182,60
185,185,60
187,187,60
188,188,60
189,189,60
190,190,60
195,195,60
196,196,60
197,197,60
198,198,60
200,200,60
201,201,60
206,206,60
207,207,60
208,208,60
209,209,60
210,210,60
211,211,60
212,212,60
213,213,60
216,216,60
217,217,60
220,220,60
224,224,60
225,225,60
226,226,60
227,227,60
231,231,60
236,236,60
237,237,60
238,238,60
239,239,60
240,240,60
241,B,60
