trip_id,stop_id,arrival_time,departure_time,stop_sequence
1-0-47,54-1,00:04:30,00:04:30,1
1-0-47,55-1,00:06:00,00:06:00,2
1-0-47,56-1,00:07:30,00:07:30,3
1-0-47,57-1,00:09:00,00:09:00,4
1-0-47,117-1,00:10:30,00:10:30,5
1-0-47,A-1,00:12:00,00:12:00,6
1-0-47,118-1,00:13:30,00:13:30,7
1-0-47,58-1,00:15:00,00:15:00,8
1-0-47,59-1,00:16:30,00:16:30,9
1-0-47,60-1,00:18:00,00:18:00,10
1-0-47,61-1,00:19:30,00:19:30,11
1-0-46,54-1,00:14:30,00:14:30,1
1-0-46,55-1,00:16:00,00:16:00,2
1-0-46,56-1,00:17:30,00:17:30,3
1-0-46,57-1,00:19:00,00:19:00,4
1-0-46,117-1,00:20:30,00:20:30,5
1-0-46,A-1,00:22:00,00:22:00,6
1-0-46,118-1,00:23:30,00:23:30,7
1-0-46,58-1,00:25:00,00:25:00,8
1-0-46,59-1,00:26:30,00:26:30,9
1-0-46,60-1,00:28:00,00:28:00,10
1-0-46,61-1,00:29:30,00:29:30,11
1-0-45,54-1,00:24:30,00:24:30,1
1-0-45,55-1,00:26:00,00:26:00,2
1-0-45,56-1,00:27:30,00:27:30,3
1-0-45,57-1,00:29:00,00:29:00,4
1-0-45,117-1,00:30:30,00:30:30,5
1-0-45,A-1,00:32:00,00:32:00,6
1-0-45,118-1,00:33:30,00:33:30,7
1-0-45,58-1,00:35:00,00:35:00,8
1-0-45,59-1,00:36:30,00:36:30,9
1-0-45,60-1,00:38:00,00:38:00,10
1-0-45,61-1,00:39:30,00:39:30,11
1-0-44,54-1,00:34:30,00:34:30,1
1-0-44,55-1,00:36:00,00:36:00,2
1-0-44,56-1,00:37:30,00:37:30,3
1-0-44,57-1,00:39:00,00:39:00,4
1-0-44,117-1,00:40:30,00:40:30,5
1-0-44,A-1,00:42:00,00:42:00,6
1-0-44,118-1,00:43:30,00:43:30,7
1-0-44,58-1,00:45:00,00:45:00,8
1-0-44,59-1,00:46:30,00:46:30,9
1-0-44,60-1,00:48:00,00:48:00,10
1-0-44,61-1,00:49:30,00:49:30,11
1-0-43,54-1,00:44:30,00:44:30,1
1-0-43,55-1,00:46:00,00:46:00,2
1-0-43,56-1,00:47:30,00:47:30,3
1-0-43,57-1,00:49:00,00:49:00,4
1-0-43,117-1,00:50:30,00:50:30,5
1-0-43,A-1,00:52:00,00:52:00,6
1-0-43,118-1,00:53:30,00:53:30,7
1-0-43,58-1,00:55:00,00:55:00,8
1-0-43,59-1,00:56:30,00:56:30,9
1-0-43,60-1,00:58:00,00:58:00,10
1-0-43,61-1,00:59:30,00:59:30,11
1-0-0,54-1,00:54:30,00:54:30,1
1-0-0,55-1,00:56:00,00:56:00,2
1-0-0,56-1,00:57:30,00:57:30,3
1-0-0,57-1,00:59:00,00:59:00,4
1-0-0,117-1,01:00:30,01:00:30,5
1-0-0,A-1,01:02:00,01:02:00,6
1-0-0,118-1,01:03:30,01:03:30,7
1-0-0,58-1,01:05:00,01:05:00,8
1-0-0,59-1,01:06:30,01:06:30,9
1-0-0,60-1,01:08:00,01:08:00,10
1-0-0,61-1,01:09:30,01:09:30,11
1-0-1,54-1,01:04:30,01:04:30,1
1-0-1,55-1,01:06:00,01:06:00,2
1-0-1,56-1,01:07:30,01:07:30,3
1-0-1,57-1,01:09:00,01:09:00,4
1-0-1,117-1,01:10:30,01:10:30,5
1-0-1,A-1,01:12:00,01:12:00,6
1-0-1,118-1,01:13:30,01:13:30,7
1-0-1,58-1,01:15:00,01:15:00,8
1-0-1,59-1,01:16:30,01:16:30,9
1-0-1,60-1,01:18:00,01:18:00,10
1-0-1,61-1,01:19:30,01:19:30,11
1-0-2,54-1,01:14:30,01:14:30,1
1-0-2,55-1,01:16:00,01:16:00,2
1-0-2,56-1,01:17:30,01:17:30,3
1-0-2,57-1,01:19:00,01:19:00,4
1-0-2,117-1,01:20:30,01:20:30,5
1-0-2,A-1,01:22:00,01:22:00,6
1-0-2,118-1,01:23:30,01:23:30,7
1-0-2,58-1,01:25:00,01:25:00,8
1-0-2,59-1,01:26:30,01:26:30,9
1-0-2,60-1,01:28:00,01:28:00,10
1-0-2,61-1,01:29:30,01:29:30,11
1-0-3,54-1,01:24:30,01:24:30,1
1-0-3,55-1,01:26:00,01:26:00,2
1-0-3,56-1,01:27:30,01:27:30,3
1-0-3,57-1,01:29:00,01:29:00,4
1-0-3,117-1,01:30:30,01:30:30,5
1-0-3,A-1,01:32:00,01:32:00,6
1-0-3,118-1,01:33:30,01:33:30,7
1-0-3,58-1,01:35:00,01:35:00,8
1-0-3,59-1,01:36:30,01:36:30,9
1-0-3,60-1,01:38:00,01:38:00,10
1-0-3,61-1,01:39:30,01:39:30,11
1-0-4,54-1,01:34:30,01:34:30,1
1-0-4,55-1,01:36:00,01:36:00,2
1-0-4,56-1,01:37:30,01:37:30,3
1-0-4,57-1,01:39:00,01:39:00,4
1-0-4,117-1,01:40:30,01:40:30,5
1-0-4,A-1,01:42:00,01:42:00,6
1-0-4,118-1,01:43:30,01:43:30,7
1-0-4,58-1,01:45:00,01:45:00,8
1-0-4,59-1,01:46:30,01:46:30,9
1-0-4,60-1,01:48:00,01:48:00,10
1-0-4,61-1,01:49:30,01:49:30,11
1-0-5,54-1,01:44:30,01:44:30,1
1-0-5,55-1,01:46:00,01:46:00,2
1-0-5,56-1,01:47:30,01:47:30,3
1-0-5,57-1,01:49:00,01:49:00,4
1-0-5,117-1,01:50:30,01:50:30,5
1-0-5,A-1,01:52:00,01:52:00,6
1-0-5,118-1,01:53:30,01:53:30,7
1-0-5,58-1,01:55:00,01:55:00,8
1-0-5,59-1,01:56:30,01:56:30,9
1-0-5,60-1,01:58:00,01:58:00,10
1-0-5,61-1,01:59:30,01:59:30,11
1-0-6,54-1,01:54:30,01:54:30,1
1-0-6,55-1,01:56:00,01:56:00,2
1-0-6,56-1,01:57:30,01:57:30,3
1-0-6,57-1,01:59:00,01:59:00,4
1-0-6,117-1,02:00:30,02:00:30,5
1-0-6,A-1,02:02:00,02:02:00,6
1-0-6,118-1,02:03:30,02:03:30,7
1-0-6,58-1,02:05:00,02:05:00,8
1-0-6,59-1,02:06:30,02:06:30,9
1-0-6,60-1,02:08:00,02:08:00,10
1-0-6,61-1,02:09:30,02:09:30,11
1-0-7,54-1,02:04:30,02:04:30,1
1-0-7,55-1,02:06:00,02:06:00,2
1-0-7,56-1,02:07:30,02:07:30,3
1-0-7,57-1,02:09:00,02:09:00,4
1-0-7,117-1,02:10:30,02:10:30,5
1-0-7,A-1,02:12:00,02:12:00,6
1-0-7,118-1,02:13:30,02:13:30,7
1-0-7,58-1,02:15:00,02:15:00,8
