from_stop_id,to_stop_id,min_transfer_time
0-0,0-1,30
0-0,0-2,30
0-0,0-3,30
0-0,0-4,30
0-0,0-5,30
0-1,0-0,30
0-1,0-2,30
0-1,0-3,30
0-1,0-4,30
0-1,0-5,30
0-2,0-0,30
0-2,0-1,30
0-2,0-3,30
0-2,0-4,30
0-2,0-5,30
0-3,0-0,30
0-3,0-1,30
0-3,0-2,30
0-3,0-4,30
0-3,0-5,30
0-4,0-0,30
0-4,0-1,30
0-4,0-2,30
0-4,0-3,30
0-4,0-5,30
0-5,0-0,30
0-5,0-1,30
0-5,0-2,30
0-5,0-3,30
0-5,0-4,30
5-0,5-1,30
5-0,5-2,30
5-0,5-3,30
5-0,5-4,30
5-0,5-5,30
5-1,5-0,30
5-1,5-2,30
5-1,5-3,30
5-1,5-4,30
5-1,5-5,30
5-2,5-0,30
5-2,5-1,30
5-2,5-3,30
5-2,5-4,30
5-2,5-5,30
5-3,5-0,30
5-3,5-1,30
5-3,5-2,30
5-3,5-4,30
5-3,5-5,30
5-4,5-0,30
5-4,5-1,30
5-4,5-2,30
5-4,5-3,30
5-4,5-5,30
5-5,5-0,30
5-5,5-1,30
5-5,5-2,30
5-5,5-3,30
5-5,5-4,30
9-0,9-1,30
9-0,9-2,30
9-0,9-3,30
9-0,9-4,30
9-0,9-5,30
9-1,9-0,30
9-1,9-2,30
9-1,9-3,30
9-1,9-4,30
9-1,9-5,30
9-2,9-0,30
9-2,9-1,30
9-2,9-3,30
9-2,9-4,30
9-2,9-5,30
9-3,9-0,30
9-3,9-1,30
9-3,9-2,30
9-3,9-4,30
9-3,9-5,30
9-4,9-0,30
9-4,9-1,30
9-4,9-2,30
9-4,9-3,30
9-4,9-5,30
9-5,9-0,30
9-5,9-1,30
9-5,9-2,30
9-5,9-3,30
9-5,9-4,30
10-0,10-1,30
10-0,10-2,30
10-0,10-3,30
10-0,10-4,30
10-0,10-5,30
10-1,10-0,30
10-1,10-2,30
10-1,10-3,30
10-1,10-4,30
10-1,10-5,30
10-2,10-0,30
10-2,10-1,30
10-2,10-3,30
10-2,10-4,30
10-2,10-5,30
10-3,10-0,30
10-3,10-1,30
10-3,10-2,30
10-3,10-4,30
10-3,10-5,30
10-4,10-0,30
10-4,10-1,30
10-4,10-2,30
10-4,10-3,30
10-4,10-5,30
10-5,10-0,30
10-5,10-1,30
10-5,10-2,30
10-5,10-3,30
10-5,10-4,30
11-0,11-1,30
11-0,11-2,30
11-0,11-3,30
11-0,11-4,30
11-0,11-5,30
11-1,11-0,30
11-1,11-2,30
11-1,11-3,30
11-1,11-4,30
11-1,11-5,30
11-2,11-0,30
11-2,11-1,30
11-2,11-3,30
11-2,11-4,30
11-2,11-5,30
11-3,11-0,30
11-3,11-1,30
11-3,11-2,30
11-3,11-4,30
11-3,11-5,30
11-4,11-0,30
11-4,11-1,30
11-4,11-2,30
11-4,11-3,30
11-4,11-5,30
11-5,11-0,30
11-5,11-1,30
11-5,11-2,30
11-5,11-3,30
11-5,11-4,30
12-0,12-1,30
12-0,12-2,30
12-0,12-3,30
12-0,12-4,30
12-0,12-5,30
12-1,12-0,30
12-1,12-2,30
12-1,12-3,30
12-1,12-4,30
12-1,12-5,30
12-2,12-0,30
12-2,12-1,30
12-2,12-3,30
12-2,12-4,30
12-2,12-5,30
12-3,12-0,30
12-3,12-1,30
12-3,12-2,30
12-3,12-4,30
12-3,12-5,30
12-4,12-0,30
12-4,12-1,30
12-4,12-2,30
12-4,12-3,30
12-4,12-5,30
12-5,12-0,30
12-5,12-1,30
12-5,12-2,30
12-5,12-3,30
12-5,12-4,30
16-0,16-1,30
16-0,16-2,30
16-0,16-3,30
16-0,16-4,30
16-0,16-5,30
16-1,16-0,30
16-1,16-2,30
16-1,16-3,30
16-1,16-4,30
16-1,16-5,30
16-2,16-0,30
16-2,16-1,30
16-2,16-3,30
16-2,16-4,30
16-2,16-5,30
16-3,16-0,30
16-3,16-1,30
16-3,16-2,30
16-3,16-4,30
16-3,16-5,30
16-4,16-0,30
16-4,16-1,30
16-4,16-2,30
16-4,16-3,30
16-4,16-5,30
16-5,16-0,30
16-5,16-1,30
16-5,16-2,30
16-5,16-3,30
16-5,16-4,30
19-0,19-1,30
19-0,19-2,30
19-0,19-3,30
19-0,19-4,30
19-0,19-5,30
19-1,19-0,30
19-1,19-2,30
19-1,19-3,30
19-1,19-4,30
19-1,19-5,30
19-2,19-0,30
19-2,19-1,30
19-2,19-3,30
19-2,19-4,30
19-2,19-5,30
19-3,19-0,30
19-3,19-1,30
19-3,19-2,30
19-3,19-4,30
19-3,19-5,30
19-4,19-0,30
19-4,19-1,30
19-4,19-2,30
19-4,19-3,30
19-4,19-5,30
19-5,19-0,30
19-5,19-1,30
19-5,19-2,30
19-5,19-3,30
19-5,19-4,30
20-0,20-1,30
20-0,20-2,30
20-0,20-3,30
20-0,20-4,30
20-0,20-5,30
20-1,20-0,30
20-1,20-2,30
20-1,20-3,30
20-1,20-4,30
20-1,20-5,30
20-2,20-0,30
20-2,20-1,30
20-2,20-3,30
20-2,20-4,30
20-2,20-5,30
20-3,20-0,30
20-3,20-1,30
20-3,20-2,30
20-3,20-4,30
20-3,20-5,30
20-4,20-0,30
20-4,20-1,30
20-4,20-2,30
20-4,20-3,30
20-4,20-5,30
20-5,20-0,30
20-5,20-1,30
20-5,20-2,30
20-5,20-3,30
20-5,20-4,30
23-0,23-1,30
23-0,23-2,30
23-0,23-3,30
23-0,23-4,30
23-0,23-5,30
23-1,23-0,30
23-1,23-2,30
