trip_id,arrival_time,departure_time,stop_id,stop_sequence
IE-0-0,0:00:00,0:00:00,A-0,1
IE-0-0,0:30:00,0:30:00,B-0,2
IE-1-0,0:25:00,0:25:00,A-0,1
IE-1-0,0:55:00,0:55:00,B-0,2
IE-2-0,0:50:00,0:50:00,A-0,1
IE-2-0,1:20:00,1:20:00,B-0,2
IE-3-0,1:15:00,1:15:00,A-0,1
IE-3-0,1:45:00,1:45:00,B-0,2
IE-4-0,1:40:00,1:40:00,A-0,1
IE-4-0,2:10:00,2:10:00,B-0,2
IE-5-0,2:05:00,2:05:00,A-0,1
IE-5-0,2:35:00,2:35:00,B-0,2
IE-6-0,2:30:00,2:30:00,A-0,1
IE-6-0,3:00:00,3:00:00,B-0,2
IE-7-0,2:55:00,2:55:00,A-0,1
IE-7-0,3:25:00,3:25:00,B-0,2
IE-8-0,3:20:00,3:20:00,A-0,1
IE-8-0,3:50:00,3:50:00,B-0,2
IE-9-0,3:45:00,3:45:00,A-0,1
IE-9-0,4:15:00,4:15:00,B-0,2
IE-10-0,4:10:00,4:10:00,A-0,1
IE-10-0,4:40:00,4:40:00,B-0,2
IE-11-0,4:35:00,4:35:00,A-0,1
IE-11-0,5:05:00,5:05:00,B-0,2
IE-12-0,5:00:00,5:00:00,A-0,1
IE-12-0,5:30:00,5:30:00,B-0,2
IE-13-0,5:25:00,5:25:00,A-0,1
IE-13-0,5:55:00,5:55:00,B-0,2
IE-14-0,5:50:00,5:50:00,A-0,1
IE-14-0,6:20:00,6:20:00,B-0,2
IE-15-0,6:15:00,6:15:00,A-0,1
IE-15-0,6:45:00,6:45:00,B-0,2
IE-16-0,6:40:00,6:40:00,A-0,1
IE-16-0,7:10:00,7:10:00,B-0,2
IE-17-0,7:05:00,7:05:00,A-0,1
IE-17-0,7:35:00,7:35:00,B-0,2
IE-18-0,7:30:00,7:30:00,A-0,1
IE-18-0,8:00:00,8:00:00,B-0,2
IE-0-1,0:00:00,0:00:00,B-0,1
IE-0-1,0:30:00,0:30:00,A-0,2
IE-1-1,0:25:00,0:25:00,B-0,1
IE-1-1,0:55:00,0:55:00,A-0,2
IE-2-1,0:50:00,0:50:00,B-0,1
IE-2-1,1:20:00,1:20:00,A-0,2
IE-3-1,1:15:00,1:15:00,B-0,1
IE-3-1,1:45:00,1:45:00,A-0,2
IE-4-1,1:40:00,1:40:00,B-0,1
IE-4-1,2:10:00,2:10:00,A-0,2
IE-5-1,2:05:00,2:05:00,B-0,1
IE-5-1,2:35:00,2:35:00,A-0,2
IE-6-1,2:30:00,2:30:00,B-0,1
IE-6-1,3:00:00,3:00:00,A-0,2
IE-7-1,2:55:00,2:55:00,B-0,1
IE-7-1,3:25:00,3:25:00,A-0,2
IE-8-1,3:20:00,3:20:00,B-0,1
IE-8-1,3:50:00,3:50:00,A-0,2
IE-9-1,3:45:00,3:45:00,B-0,1
IE-9-1,4:15:00,4:15:00,A-0,2
IE-10-1,4:10:00,4:10:00,B-0,1
IE-10-1,4:40:00,4:40:00,A-0,2
IE-11-1,4:35:00,4:35:00,B-0,1
IE-11-1,5:05:00,5:05:00,A-0,2
IE-12-1,5:00:00,5:00:00,B-0,1
IE-12-1,5:30:00,5:30:00,A-0,2
IE-13-1,5:25:00,5:25:00,B-0,1
IE-13-1,5:55:00,5:55:00,A-0,2
IE-14-1,5:50:00,5:50:00,B-0,1
IE-14-1,6:20:00,6:20:00,A-0,2
IE-15-1,6:15:00,6:15:00,B-0,1
IE-15-1,6:45:00,6:45:00,A-0,2
IE-16-1,6:40:00,6:40:00,B-0,1
IE-16-1,7:10:00,7:10:00,A-0,2
IE-17-1,7:05:00,7:05:00,B-0,1
IE-17-1,7:35:00,7:35:00,A-0,2
IE-18-1,7:30:00,7:30:00,B-0,1
IE-18-1,8:00:00,8:00:00,A-0,2
