trip_id,stop_id,arrival_time,departure_time,stop_sequence
0-0-46,MH-L-0,00:05:00,00:10:00,1
0-0-46,MH-R-0,00:35:00,00:40:00,2
0-0-45,MH-L-0,00:15:00,00:20:00,1
0-0-45,MH-R-0,00:45:00,00:50:00,2
0-0-44,MH-L-0,00:25:00,00:30:00,1
0-0-44,MH-R-0,00:55:00,01:00:00,2
0-0-43,MH-L-0,00:35:00,00:40:00,1
0-0-43,MH-R-0,01:05:00,01:10:00,2
0-0-42,MH-L-0,00:45:00,00:50:00,1
0-0-42,MH-R-0,01:15:00,01:20:00,2
0-0-0,MH-L-0,00:55:00,01:00:00,1
0-0-0,MH-R-0,01:25:00,01:30:00,2
0-0-1,MH-L-0,01:05:00,01:10:00,1
0-0-1,MH-R-0,01:35:00,01:40:00,2
0-0-2,MH-L-0,01:15:00,01:20:00,1
0-0-2,MH-R-0,01:45:00,01:50:00,2
0-0-3,MH-L-0,01:25:00,01:30:00,1
0-0-3,MH-R-0,01:55:00,02:00:00,2
0-0-4,MH-L-0,01:35:00,01:40:00,1
0-0-4,MH-R-0,02:05:00,02:10:00,2
0-0-5,MH-L-0,01:45:00,01:50:00,1
0-0-5,MH-R-0,02:15:00,02:20:00,2
0-0-6,MH-L-0,01:55:00,02:00:00,1
0-0-6,MH-R-0,02:25:00,02:30:00,2
0-0-7,MH-L-0,02:05:00,02:10:00,1
0-0-7,MH-R-0,02:35:00,02:40:00,2
0-0-8,MH-L-0,02:15:00,02:20:00,1
0-0-8,MH-R-0,02:45:00,02:50:00,2
0-0-9,MH-L-0,02:25:00,02:30:00,1
0-0-9,MH-R-0,02:55:00,03:00:00,2
0-0-10,MH-L-0,02:35:00,02:40:00,1
0-0-10,MH-R-0,03:05:00,03:10:00,2
0-0-11,MH-L-0,02:45:00,02:50:00,1
0-0-11,MH-R-0,03:15:00,03:20:00,2
0-0-12,MH-L-0,02:55:00,03:00:00,1
0-0-12,MH-R-0,03:25:00,03:30:00,2
0-0-13,MH-L-0,03:05:00,03:10:00,1
0-0-13,MH-R-0,03:35:00,03:40:00,2
0-0-14,MH-L-0,03:15:00,03:20:00,1
0-0-14,MH-R-0,03:45:00,03:50:00,2
0-0-15,MH-L-0,03:25:00,03:30:00,1
0-0-15,MH-R-0,03:55:00,04:00:00,2
0-0-16,MH-L-0,03:35:00,03:40:00,1
0-0-16,MH-R-0,04:05:00,04:10:00,2
0-0-17,MH-L-0,03:45:00,03:50:00,1
0-0-17,MH-R-0,04:15:00,04:20:00,2
0-0-18,MH-L-0,03:55:00,04:00:00,1
0-0-18,MH-R-0,04:25:00,04:30:00,2
0-0-19,MH-L-0,04:05:00,04:10:00,1
0-0-19,MH-R-0,04:35:00,04:40:00,2
