start,end,rq_time,rq_type,subnetwork,request_id,is_multimodal,modal_state,transfer_station_ids,max_transfers
106,24,11070,intra,left,0,False,0,,0
3,56,11280,intra,left,1,False,0,,0
21,119,8040,intra,left,2,False,0,,0
44,93,4380,intra,left,3,False,0,,0
22,66,11340,intra,left,4,False,0,,0
63,60,7470,intra,left,5,False,0,,0
29,106,8160,intra,left,6,False,0,,0
62,7,8730,intra,left,7,False,0,,0
33,79,8880,intra,left,8,False,0,,0
37,20,14100,intra,left,9,False,0,,0
49,21,9780,intra,left,10,False,0,,0
119,54,3600,intra,left,11,False,0,,0
64,105,11820,intra,left,12,False,0,,0
116,63,8550,intra,left,13,False,0,,0
71,37,11190,intra,left,14,False,0,,0
113,1,13830,intra,left,15,False,0,,0
91,16,13680,intra,left,16,False,0,,0
32,16,11820,intra,left,17,False,0,,0
30,48,12270,intra,left,18,False,0,,0
52,113,10860,intra,left,19,False,0,,0
2,28,4680,intra,left,20,False,0,,0
59,74,9060,intra,left,21,False,0,,0
21,113,12960,intra,left,22,False,0,,0
104,39,12150,intra,left,23,False,0,,0
32,48,3870,intra,left,24,False,0,,0
33,111,10080,intra,left,25,False,0,,0
84,10,9840,intra,left,26,False,0,,0
45,114,5160,intra,left,27,False,0,,0
1,18,3660,intra,left,28,False,0,,0
20,62,4260,intra,left,29,False,0,,0
92,107,7650,intra,left,30,False,0,,0
53,107,3840,intra,left,31,False,0,,0
24,78,5880,intra,left,32,False,0,,0
19,100,4380,intra,left,33,False,0,,0
5,84,14130,intra,left,34,False,0,,0
81,9,4560,intra,left,35,False,0,,0
36,42,9600,intra,left,36,False,0,,0
20,62,8760,intra,left,37,False,0,,0
116,32,9030,intra,left,38,False,0,,0
86,39,13080,intra,left,39,False,0,,0
95,32,13920,intra,left,40,False,0,,0
33,85,12810,intra,left,41,False,0,,0
92,11,10980,intra,left,42,False,0,,0
105,17,13410,intra,left,43,False,0,,0
13,95,10260,intra,left,44,False,0,,0
63,162,3990,inter,left,45,True,3,A;B,1
77,217,10080,inter,left,46,True,3,A;B,1
60,168,9090,inter,left,47,True,3,A;B,1
106,177,9990,inter,left,48,True,3,A;B,1
70,208,3960,inter,left,49,True,3,A;B,1
149,232,6900,intra,right,50,False,0,,0
131,132,4650,intra,right,51,False,0,,0
206,213,12750,intra,right,52,False,0,,0
193,210,4620,intra,right,53,False,0,,0
132,210,9210,intra,right,54,False,0,,0
125,206,10230,intra,right,55,False,0,,0
121,177,6420,intra,right,56,False,0,,0
166,192,14190,intra,right,57,False,0,,0
219,142,8460,intra,right,58,False,0,,0
231,150,11490,intra,right,59,False,0,,0
215,151,13560,intra,right,60,False,0,,0
224,229,8760,intra,right,61,False,0,,0
142,215,4830,intra,right,62,False,0,,0
211,173,11550,intra,right,63,False,0,,0
140,225,13350,intra,right,64,False,0,,0
145,173,10380,intra,right,65,False,0,,0
164,240,8130,intra,right,66,False,0,,0
185,192,8400,intra,right,67,False,0,,0
199,204,12060,intra,right,68,False,0,,0
142,231,7260,intra,right,69,False,0,,0
144,230,13560,intra,right,70,False,0,,0
139,155,14040,intra,right,71,False,0,,0
127,191,8010,intra,right,72,False,0,,0
181,198,10530,intra,right,73,False,0,,0
230,160,5520,intra,right,74,False,0,,0
181,133,3720,intra,right,75,False,0,,0
163,238,10440,intra,right,76,False,0,,0
179,215,10680,intra,right,77,False,0,,0
198,142,5640,intra,right,78,False,0,,0
219,214,5670,intra,right,79,False,0,,0
212,166,8400,intra,right,80,False,0,,0
192,217,9450,intra,right,81,False,0,,0
208,146,7050,intra,right,82,False,0,,0
147,199,8100,intra,right,83,False,0,,0
197,132,12180,intra,right,84,False,0,,0
218,200,10950,intra,right,85,False,0,,0
124,191,12660,intra,right,86,False,0,,0
135,196,3750,intra,right,87,False,0,,0
181,155,4740,intra,right,88,False,0,,0
184,142,8220,intra,right,89,False,0,,0
157,128,5820,intra,right,90,False,0,,0
146,220,8970,intra,right,91,False,0,,0
122,238,6120,intra,right,92,False,0,,0
231,174,7260,intra,right,93,False,0,,0
203,133,9480,intra,right,94,False,0,,0
234,3,9300,inter,right,95,True,3,B;A,1
155,108,12750,inter,right,96,True,3,B;A,1
163,60,11400,inter,right,97,True,3,B;A,1
142,72,4170,inter,right,98,True,3,B;A,1
122,18,13350,inter,right,99,True,3,B;A,1
