start,end,rq_time,rq_type,subnetwork,request_id,start_station_street_ids,end_station_street_ids,walk_start_to_station_street_distance,walk_start_to_station_street_tt,walk_station_to_end_street_distance,walk_station_to_end_street_tt,start_station_street_arrival_time
106,24,11070,intra,left,0,[106],[24],0,0,0,0,11070
3,56,11280,intra,left,1,[5],[56],1000,751,0,0,12031
21,119,8040,intra,left,2,[10; 20],[119],500,375,0,0,8415
44,93,4380,intra,left,3,[54],[92; 104],500,375,500,375,4755
22,66,11340,intra,left,4,[11; 23],[66],500,375,0,0,11715
63,60,7470,intra,left,5,[55],[60],500,375,0,0,7845
29,106,8160,intra,left,6,[29],[106],0,0,0,0,8160
62,7,8730,intra,left,7,[54],[5; 9; 19; 29],500,375,1000,751,9105
33,79,8880,intra,left,8,[11; 23; 35; 54],[79],1000,751,0,0,9631
37,20,14100,intra,left,9,[36; 38; 48],[20],500,375,0,0,14475
49,21,9780,intra,left,10,[49],[10; 20],0,0,500,375,9780
119,54,3600,intra,left,11,[119],[54],0,0,0,0,3600
64,105,11820,intra,left,12,[56],[105],500,375,0,0,12195
116,63,8550,intra,left,13,[116],[55],0,0,500,375,8550
71,37,11190,intra,left,14,[61],[36; 38; 48],500,375,500,375,11565
113,1,13830,intra,left,15,[91; 103; 115],[0; 12],1000,751,500,375,14581
91,16,13680,intra,left,16,[91],[16],0,0,0,0,13680
32,16,11820,intra,left,17,[10; 20; 30],[16],1000,751,0,0,12571
30,48,12270,intra,left,18,[30],[48],0,0,0,0,12270
52,113,10860,intra,left,19,[60],[91; 103; 115],500,375,1000,751,11235
2,28,4680,intra,left,20,[0; 12; 24],[27; 29; 39],1000,751,500,375,5431
59,74,9060,intra,left,21,[59],[75; 85],0,0,500,375,9060
112,221,6330,inter,left,22,[110],[220],1000,751,500,375,7081
113,142,6990,inter,left,23,[91; 103; 115],[131; 141],1000,751,500,375,7741
56,225,12450,inter,left,24,[56],[225],0,0,0,0,12450
29,153,8880,inter,left,25,[29],[131; 141; 151],0,0,1000,751,8880
9,154,10080,inter,left,26,[9],[132; 144; 156; 175],0,0,1000,751,10080
55,132,9960,inter,left,27,[55],[132],0,0,0,0,9960
10,233,9840,inter,left,28,[10],[231],0,0,1000,751,9840
76,189,12600,inter,left,29,[76],[189],0,0,0,0,12600
44,140,7200,inter,left,30,[54],[140],500,375,0,0,7575
98,160,8940,inter,left,31,[99],[160],500,375,0,0,9315
65,156,8790,inter,left,32,[57; 66; 75],[156],500,375,0,0,9165
114,173,11310,inter,left,33,[103; 115],[181],500,375,500,375,11685
18,184,3660,inter,left,34,[19; 29],[176],500,375,500,375,4035
87,220,8040,inter,left,35,[76; 86; 88],[220],500,375,0,0,8415
62,202,4260,inter,left,36,[54],[201; 213],500,375,500,375,4635
92,228,7650,inter,left,37,[92],[217; 227],0,0,500,375,7650
57,218,4560,inter,left,38,[57],[207; 217],0,0,500,375,4560
92,181,12090,inter,left,39,[92],[181],0,0,0,0,12090
53,228,3840,inter,left,40,[61],[217; 227],500,375,500,375,4215
20,129,8160,inter,left,41,[20],[130; 140],0,0,500,375,8160
78,197,4170,inter,left,42,[67; 77; 79],[197],500,375,0,0,4545
100,130,4380,inter,left,43,[99],[130],500,375,0,0,4755
50,181,7590,inter,left,44,[40; 49; 58],[181],500,375,0,0,7965
95,226,6780,inter,left,45,[95],[226],0,0,0,0,6780
81,130,4560,inter,left,46,[80; 92],[130],500,375,0,0,4935
13,165,5730,inter,left,47,[12; 24],[175],500,375,500,375,6105
92,157,9600,inter,left,48,[92],[157],0,0,0,0,9600
26,145,8040,inter,left,49,[27],[145],500,375,0,0,8415
62,165,8340,inter,left,50,[54],[175],500,375,500,375,8715
32,174,6180,inter,left,51,[10; 20; 30],[182],1000,751,500,375,6931
39,181,14130,inter,left,52,[39],[181],0,0,0,0,14130
32,208,13920,inter,left,53,[10; 20; 30],[197; 207; 209],1000,751,500,375,14671
33,206,12810,inter,left,54,[11; 23; 35; 54],[206],1000,751,0,0,13561
90,200,14040,inter,left,55,[79; 91],[200],500,375,0,0,14415
105,138,13410,inter,left,56,[105],[137],0,0,500,375,13410
13,216,10260,inter,left,57,[12; 24],[216],500,375,0,0,10635
63,162,3990,inter,left,58,[55],[151; 161],500,375,500,375,4365
77,217,10080,inter,left,59,[77],[217],0,0,0,0,10080
60,168,9090,inter,left,60,[60],[168],0,0,0,0,9090
106,177,9990,inter,left,61,[106],[177],0,0,0,0,9990
70,208,3960,inter,left,62,[60],[197; 207; 209],500,375,500,375,4335
28,232,6900,inter,left,63,[27; 29; 39],[231],500,375,500,375,7275
10,132,4650,inter,left,64,[10],[132],0,0,0,0,4650
85,213,12750,inter,left,65,[85],[213],0,0,0,0,12750
72,210,4620,inter,left,66,[54],[209],1000,751,500,375,5371
11,210,9210,inter,left,67,[11],[209],0,0,500,375,9210
4,206,10230,inter,left,68,[5],[206],500,375,0,0,10605
0,177,6420,inter,left,69,[0],[177],0,0,0,0,6420
45,192,14190,inter,left,70,[55],[182],500,375,500,375,14565
98,142,8460,inter,left,71,[99],[131; 141],500,375,500,375,8835
110,150,11490,inter,left,72,[110],[150],0,0,0,0,11490
94,151,13560,inter,left,73,[95; 105],[151],500,375,0,0,13935
39,178,10950,inter,left,74,[39],[178],0,0,0,0,10950
224,229,8760,intra,right,75,[224],[207; 217; 227; 231],0,0,1000,751,8760
142,215,4830,intra,right,76,[131; 141],[216; 226],500,375,500,375,5205
211,173,11550,intra,right,77,[200; 212],[181],500,375,500,375,11925
140,225,13350,intra,right,78,[140],[225],0,0,0,0,13350
145,173,10380,intra,right,79,[145],[181],0,0,500,375,10380
164,240,8130,intra,right,80,[182],[240],1000,751,0,0,8881
185,192,8400,intra,right,81,[177],[182],500,375,500,375,8775
199,204,12060,intra,right,82,[188; 198; 200],[206; 216; 226],500,375,1000,751,12435
142,231,7260,intra,right,83,[131; 141],[231],500,375,0,0,7635
144,230,13560,intra,right,84,[144],[231],0,0,500,375,13560
139,155,14040,intra,right,85,[140; 150],[144; 156],500,375,500,375,14415
127,191,8010,intra,right,86,[126],[181],500,375,500,375,8385
181,198,10530,intra,right,87,[181],[198],0,0,0,0,10530
230,160,5520,intra,right,88,[231],[160],500,375,0,0,5895
181,133,3720,intra,right,89,[181],[133],0,0,0,0,3720
163,238,10440,intra,right,90,[141; 151; 161; 181],[238],1000,751,0,0,11191
179,215,10680,intra,right,91,[179],[216; 226],0,0,500,375,10680
198,142,5640,intra,right,92,[198],[131; 141],0,0,500,375,5640
219,214,5670,intra,right,93,[220],[213; 225],500,375,500,375,6045
212,166,8400,intra,right,94,[212],[176],0,0,500,375,8400
192,217,9450,intra,right,95,[182],[217],500,375,0,0,9825
208,146,7050,intra,right,96,[197; 207; 209],[145; 157],500,375,500,375,7425
147,78,8100,inter,right,97,[148],[67; 77; 79],500,375,500,375,8475
197,11,12180,inter,right,98,[197],[11],0,0,0,0,12180
218,79,10950,inter,right,99,[207; 217],[79],500,375,0,0,11325
124,70,12660,inter,right,100,[126],[60],1000,751,500,375,13411
135,75,3750,inter,right,101,[133; 137; 145; 157],[75],1000,751,0,0,4501
207,79,9840,inter,right,102,[207],[79],0,0,0,0,9840
181,34,4740,inter,right,103,[181],[23; 35],0,0,500,375,4740
171,59,11820,inter,right,104,[161; 170; 179],[59],500,375,0,0,12195
150,63,11910,inter,right,105,[150],[55],0,0,500,375,11910
147,12,11970,inter,right,106,[148],[12],500,375,0,0,12345
138,30,12360,inter,right,107,[137],[30],500,375,0,0,12735
128,74,12030,inter,right,108,[126; 130; 140; 150],[75; 85],1000,751,500,375,12781
220,113,8970,inter,right,109,[220],[91; 103; 115],0,0,1000,751,8970
205,110,12870,inter,right,110,[206; 216],[110],500,375,0,0,13245
231,82,7800,inter,right,111,[231],[61; 80; 92; 104],0,0,1000,751,7800
189,113,11370,inter,right,112,[189],[91; 103; 115],0,0,1000,751,11370
183,34,12750,inter,right,113,[175],[23; 35],500,375,500,375,13125
163,60,11400,inter,right,114,[141; 151; 161; 181],[60],1000,751,0,0,12151
142,72,4170,inter,right,115,[131; 141],[54],500,375,1000,751,4545
122,18,13350,inter,right,116,[121; 133],[19; 29],500,375,500,375,13725
176,49,10170,inter,right,117,[176],[49],0,0,0,0,10170
196,3,9660,inter,right,118,[196],[5],0,0,1000,751,9660
210,19,9990,inter,right,119,[209],[19],500,375,0,0,10365
233,39,6540,inter,right,120,[231],[39],1000,751,0,0,7291
165,6,6420,inter,right,121,[175],[5],500,375,500,375,6795
183,26,10800,inter,right,122,[175],[27],500,375,500,375,11175
216,97,7440,inter,right,123,[216],[86; 96],0,0,500,375,7440
157,54,13620,inter,right,124,[157],[54],0,0,0,0,13620
158,102,8520,inter,right,125,[157; 159; 169],[91; 103],500,375,500,375,8895
210,23,13800,inter,right,126,[209],[23],500,375,0,0,14175
139,74,13950,inter,right,127,[140; 150],[75; 85],500,375,500,375,14325
165,31,10170,inter,right,128,[175],[20; 30],500,375,500,375,10545
197,104,7770,inter,right,129,[197],[104],0,0,0,0,7770
235,111,12000,inter,right,130,[224; 236],[110],500,375,500,375,12375
211,88,11400,inter,right,131,[200; 212],[88],500,375,0,0,11775
213,56,11880,inter,right,132,[213],[56],0,0,0,0,11880
176,10,11430,inter,right,133,[176],[10],0,0,0,0,11430
180,110,6360,inter,right,134,[180],[110],0,0,0,0,6360
130,54,9270,inter,right,135,[130],[54],0,0,0,0,9270
205,38,6480,inter,right,136,[206; 216],[38],500,375,0,0,6855
154,68,9690,inter,right,137,[132; 144; 156; 175],[68],1000,751,0,0,10441
216,46,10830,inter,right,138,[216],[35; 47; 56],0,0,500,375,10830
142,49,12030,inter,right,139,[131; 141],[49],500,375,0,0,12405
220,96,11640,inter,right,140,[220],[96],0,0,0,0,11640
186,84,6720,inter,right,141,[178; 187; 196],[85; 95],500,375,500,375,7095
229,20,10410,inter,right,142,[207; 217; 227; 231],[20],1000,751,0,0,11161
174,29,13920,inter,right,143,[182],[29],500,375,0,0,14295
227,7,11250,inter,right,144,[227],[5; 9; 19; 29],0,0,1000,751,11250
188,22,10830,inter,right,145,[188],[11; 23],0,0,500,375,10830
144,9,12270,inter,right,146,[144],[9],0,0,0,0,12270
136,13,8280,inter,right,147,[137],[12; 24],500,375,500,375,8655
203,28,5730,inter,right,148,[182; 201; 213; 225],[27; 29; 39],1000,751,500,375,6481
234,69,5580,inter,right,149,[212; 224; 236],[59; 68; 80],1000,751,500,375,6331
