start,end,rq_time,rq_type,subnetwork,request_id,start_station_street_ids,end_station_street_ids,walk_start_to_station_street_distance,walk_start_to_station_street_tt,walk_station_to_end_street_distance,walk_station_to_end_street_tt,station_street_arrival_time
106,24,11070,intra,left,0,[106],[24],0,0,0,0,11070
3,56,11280,intra,left,1,[5],[56],1000,751,0,0,12031
21,119,8040,intra,left,2,[10; 20],[119],500,375,0,0,8415
44,93,4380,intra,left,3,[54],[92; 104],500,375,500,375,4755
22,66,11340,intra,left,4,[11; 23],[66],500,375,0,0,11715
63,60,7470,intra,left,5,[55],[60],500,375,0,0,7845
29,106,8160,intra,left,6,[29],[106],0,0,0,0,8160
62,7,8730,intra,left,7,[54],[5; 9; 19; 29],500,375,1000,751,9105
33,79,8880,intra,left,8,[11; 23; 35; 54],[79],1000,751,0,0,9631
37,20,14100,intra,left,9,[36; 38; 48],[20],500,375,0,0,14475
49,21,9780,intra,left,10,[49],[10; 20],0,0,500,375,9780
119,54,3600,intra,left,11,[119],[54],0,0,0,0,3600
64,226,11820,inter,left,12,[56],[226],500,375,0,0,12195
37,177,8550,inter,left,13,[36; 38; 48],[177],500,375,0,0,8925
46,154,6990,inter,left,14,[35; 47; 56],[132; 144; 156; 175],500,375,1000,751,7365
1,206,7110,inter,left,15,[0; 12],[206],500,375,0,0,7485
107,221,6570,inter,left,16,[96; 106],[220],500,375,500,375,6945
91,137,13680,inter,left,17,[91],[137],0,0,0,0,13680
32,137,11820,inter,left,18,[10; 20; 30],[137],1000,751,0,0,12571
75,176,14160,inter,left,19,[75],[176],0,0,0,0,14160
95,134,5040,inter,left,20,[95],[133; 145],0,0,500,375,5040
61,154,12840,inter,left,21,[61],[132; 144; 156; 175],0,0,1000,751,12840
113,235,3660,inter,left,22,[91; 103; 115],[224; 236],1000,751,500,375,4411
28,157,13980,inter,left,23,[27; 29; 39],[157],500,375,0,0,14355
104,165,8880,inter,left,24,[104],[175],0,0,500,375,8880
59,195,9060,inter,left,25,[59],[196; 206],0,0,500,375,9060
112,221,6330,inter,left,26,[110],[220],1000,751,500,375,7081
113,142,6990,inter,left,27,[91; 103; 115],[131; 141],1000,751,500,375,7741
56,225,12450,inter,left,28,[56],[225],0,0,0,0,12450
29,153,8880,inter,left,29,[29],[131; 141; 151],0,0,1000,751,8880
9,154,10080,inter,left,30,[9],[132; 144; 156; 175],0,0,1000,751,10080
55,132,9960,inter,left,31,[55],[132],0,0,0,0,9960
10,233,9840,inter,left,32,[10],[231],0,0,1000,751,9840
76,189,12600,inter,left,33,[76],[189],0,0,0,0,12600
44,140,7200,inter,left,34,[54],[140],500,375,0,0,7575
98,160,8940,inter,left,35,[99],[160],500,375,0,0,9315
65,156,8790,inter,left,36,[57; 66; 75],[156],500,375,0,0,9165
114,173,11310,inter,left,37,[103; 115],[181],500,375,500,375,11685
18,184,3660,inter,left,38,[19; 29],[176],500,375,500,375,4035
87,220,8040,inter,left,39,[76; 86; 88],[220],500,375,0,0,8415
62,202,4260,inter,left,40,[54],[201; 213],500,375,500,375,4635
92,228,7650,inter,left,41,[92],[217; 227],0,0,500,375,7650
57,218,4560,inter,left,42,[57],[207; 217],0,0,500,375,4560
92,181,12090,inter,left,43,[92],[181],0,0,0,0,12090
53,228,3840,inter,left,44,[61],[217; 227],500,375,500,375,4215
20,129,8160,inter,left,45,[20],[130; 140],0,0,500,375,8160
78,197,4170,inter,left,46,[67; 77; 79],[197],500,375,0,0,4545
100,130,4380,inter,left,47,[99],[130],500,375,0,0,4755
50,181,7590,inter,left,48,[40; 49; 58],[181],500,375,0,0,7965
95,226,6780,inter,left,49,[95],[226],0,0,0,0,6780
81,130,4560,inter,left,50,[80; 92],[130],500,375,0,0,4935
13,165,5730,inter,left,51,[12; 24],[175],500,375,500,375,6105
92,157,9600,inter,left,52,[92],[157],0,0,0,0,9600
26,145,8040,inter,left,53,[27],[145],500,375,0,0,8415
62,165,8340,inter,left,54,[54],[175],500,375,500,375,8715
32,174,6180,inter,left,55,[10; 20; 30],[182],1000,751,500,375,6931
39,181,14130,inter,left,56,[39],[181],0,0,0,0,14130
32,208,13920,inter,left,57,[10; 20; 30],[197; 207; 209],1000,751,500,375,14671
33,206,12810,inter,left,58,[11; 23; 35; 54],[206],1000,751,0,0,13561
90,200,14040,inter,left,59,[79; 91],[200],500,375,0,0,14415
105,138,13410,inter,left,60,[105],[137],0,0,500,375,13410
13,216,10260,inter,left,61,[12; 24],[216],500,375,0,0,10635
63,162,3990,inter,left,62,[55],[151; 161],500,375,500,375,4365
77,217,10080,inter,left,63,[77],[217],0,0,0,0,10080
60,168,9090,inter,left,64,[60],[168],0,0,0,0,9090
106,177,9990,inter,left,65,[106],[177],0,0,0,0,9990
70,208,3960,inter,left,66,[60],[197; 207; 209],500,375,500,375,4335
28,232,6900,inter,left,67,[27; 29; 39],[231],500,375,500,375,7275
10,132,4650,inter,left,68,[10],[132],0,0,0,0,4650
85,213,12750,inter,left,69,[85],[213],0,0,0,0,12750
72,210,4620,inter,left,70,[54],[209],1000,751,500,375,5371
11,210,9210,inter,left,71,[11],[209],0,0,500,375,9210
4,206,10230,inter,left,72,[5],[206],500,375,0,0,10605
0,177,6420,inter,left,73,[0],[177],0,0,0,0,6420
45,192,14190,inter,left,74,[55],[182],500,375,500,375,14565
98,142,8460,inter,left,75,[99],[131; 141],500,375,500,375,8835
110,150,11490,inter,left,76,[110],[150],0,0,0,0,11490
94,151,13560,inter,left,77,[95; 105],[151],500,375,0,0,13935
39,178,10950,inter,left,78,[39],[178],0,0,0,0,10950
103,229,8760,inter,left,79,[103],[207; 217; 227; 231],0,0,1000,751,8760
21,215,4830,inter,left,80,[10; 20],[216; 226],500,375,500,375,5205
71,213,4620,inter,left,81,[61],[213],500,375,0,0,4995
15,143,12630,inter,left,82,[16],[132; 144],500,375,500,375,13005
36,161,6300,inter,left,83,[36],[161],0,0,0,0,6300
52,130,13350,inter,left,84,[60],[130],500,375,0,0,13725
54,133,4380,inter,left,85,[54],[133],0,0,0,0,4380
35,145,10380,inter,left,86,[35],[145],0,0,0,0,10380
23,171,11820,inter,left,87,[23],[161; 170; 179],0,0,500,375,11820
64,192,8400,inter,left,88,[56],[182],500,375,500,375,8775
78,204,12060,inter,left,89,[67; 77; 79],[206; 216; 226],500,375,1000,751,12435
3,158,11910,inter,left,90,[5],[157; 159; 169],1000,751,500,375,12661
23,230,13560,inter,left,91,[23],[231],0,0,500,375,13560
18,155,14040,inter,left,92,[19; 29],[144; 156],500,375,500,375,14415
6,191,8010,inter,left,93,[5],[181],500,375,500,375,8385
60,198,10530,inter,left,94,[60],[198],0,0,0,0,10530
109,160,5520,inter,left,95,[110],[160],500,375,0,0,5895
60,133,3720,inter,left,96,[60],[133],0,0,0,0,3720
100,179,10260,inter,left,97,[99],[179],500,375,0,0,10635
21,229,11280,inter,left,98,[10; 20],[207; 217; 227; 231],500,375,1000,751,11655
35,198,4230,inter,left,99,[35],[198],0,0,0,0,4230
68,219,6390,inter,left,100,[68],[220],0,0,500,375,6390
69,234,10170,inter,left,101,[59; 68; 80],[212; 224; 236],500,375,1000,751,10545
45,153,5550,inter,left,102,[55],[131; 141; 151],500,375,1000,751,5925
95,192,9450,inter,left,103,[95],[182],0,0,500,375,9450
87,146,7050,inter,left,104,[76; 86; 88],[145; 157],500,375,500,375,7425
26,199,8100,inter,left,105,[27],[188; 198; 200],500,375,500,375,8475
76,132,12180,inter,left,106,[76],[132],0,0,0,0,12180
97,200,10950,inter,left,107,[86; 96],[200],500,375,0,0,11325
3,191,12660,inter,left,108,[5],[181],1000,751,500,375,13411
14,196,3750,inter,left,109,[12; 16; 24; 36],[196],1000,751,0,0,4501
86,200,9840,inter,left,110,[86],[200],0,0,0,0,9840
60,155,4740,inter,left,111,[60],[144; 156],0,0,500,375,4740
50,180,11820,inter,left,112,[40; 49; 58],[180],500,375,0,0,12195
29,184,11910,inter,left,113,[29],[176],0,0,500,375,11910
26,133,11970,inter,left,114,[27],[133],500,375,0,0,12345
17,151,12360,inter,left,115,[16],[151],500,375,0,0,12735
7,195,12030,inter,left,116,[5; 9; 19; 29],[196; 206],1000,751,500,375,12781
99,234,8970,inter,left,117,[99],[212; 224; 236],0,0,1000,751,8970
84,231,12870,inter,left,118,[85; 95],[231],500,375,0,0,13245
110,203,7800,inter,left,119,[110],[182; 201; 213; 225],0,0,1000,751,7800
68,234,11370,inter,left,120,[68],[212; 224; 236],0,0,1000,751,11370
62,155,12750,inter,left,121,[54],[144; 156],500,375,500,375,13125
42,181,11400,inter,left,122,[20; 30; 40; 60],[181],1000,751,0,0,12151
21,193,4170,inter,left,123,[10; 20],[175],500,375,1000,751,4545
1,139,13350,inter,left,124,[0; 12],[140; 150],500,375,500,375,13725
176,170,10170,intra,right,125,[176],[170],0,0,0,0,10170
196,124,9660,intra,right,126,[196],[126],0,0,1000,751,9660
210,140,9990,intra,right,127,[209],[140],500,375,0,0,10365
233,160,6540,intra,right,128,[231],[160],1000,751,0,0,7291
165,127,6420,intra,right,129,[175],[126],500,375,500,375,6795
183,147,10800,intra,right,130,[175],[148],500,375,500,375,11175
121,157,12900,intra,right,131,[121],[157],0,0,0,0,12900
199,158,8520,intra,right,132,[188; 198; 200],[157; 159; 169],500,375,500,375,8895
210,144,13800,intra,right,133,[209],[144],500,375,0,0,14175
139,195,13950,intra,right,134,[140; 150],[196; 206],500,375,500,375,14325
165,152,10170,intra,right,135,[175],[141; 151],500,375,500,375,10545
197,225,7770,intra,right,136,[197],[225],0,0,0,0,7770
235,111,12000,inter,right,137,[224; 236],[110],500,375,500,375,12375
211,88,11400,inter,right,138,[200; 212],[88],500,375,0,0,11775
213,56,11880,inter,right,139,[213],[56],0,0,0,0,11880
176,10,11430,inter,right,140,[176],[10],0,0,0,0,11430
180,110,6360,inter,right,141,[180],[110],0,0,0,0,6360
130,54,9270,inter,right,142,[130],[54],0,0,0,0,9270
205,38,6480,inter,right,143,[206; 216],[38],500,375,0,0,6855
154,68,9690,inter,right,144,[132; 144; 156; 175],[68],1000,751,0,0,10441
216,46,10830,inter,right,145,[216],[35; 47; 56],0,0,500,375,10830
142,49,12030,inter,right,146,[131; 141],[49],500,375,0,0,12405
220,96,11640,inter,right,147,[220],[96],0,0,0,0,11640
186,84,6720,inter,right,148,[178; 187; 196],[85; 95],500,375,500,375,7095
229,20,10410,inter,right,149,[207; 217; 227; 231],[20],1000,751,0,0,11161
174,29,13920,inter,right,150,[182],[29],500,375,0,0,14295
227,7,11250,inter,right,151,[227],[5; 9; 19; 29],0,0,1000,751,11250
188,22,10830,inter,right,152,[188],[11; 23],0,0,500,375,10830
144,9,12270,inter,right,153,[144],[9],0,0,0,0,12270
136,13,8280,inter,right,154,[137],[12; 24],500,375,500,375,8655
203,28,5730,inter,right,155,[182; 201; 213; 225],[27; 29; 39],1000,751,500,375,6481
234,69,5580,inter,right,156,[212; 224; 236],[59; 68; 80],1000,751,500,375,6331
151,2,9390,inter,right,157,[151],[0; 12; 24],0,0,1000,751,9390
140,58,8730,inter,right,158,[140],[58],0,0,0,0,8730
141,28,12810,inter,right,159,[141],[27; 29; 39],0,0,500,375,12810
211,40,13620,inter,right,160,[200; 212],[40],500,375,0,0,13995
201,94,11940,inter,right,161,[201],[95; 105],0,0,500,375,11940
209,35,10290,inter,right,162,[209],[35],0,0,0,0,10290
208,97,11220,inter,right,163,[197; 207; 209],[86; 96],500,375,500,375,11595
177,60,4140,inter,right,164,[177],[60],0,0,0,0,4140
184,44,12540,inter,right,165,[176],[54],500,375,500,375,12915
145,95,12600,inter,right,166,[145],[95],0,0,0,0,12600
153,4,8640,inter,right,167,[131; 141; 151],[5],1000,751,500,375,9391
193,54,5160,inter,right,168,[175],[54],1000,751,0,0,5911
231,11,8970,inter,right,169,[231],[11],0,0,0,0,8970
217,76,4920,inter,right,170,[217],[76],0,0,0,0,4920
221,48,11340,inter,right,171,[220],[48],500,375,0,0,11715
191,18,8340,inter,right,172,[181],[19; 29],500,375,500,375,8715
154,21,12900,inter,right,173,[132; 144; 156; 175],[10; 20],1000,751,500,375,13651
126,109,5370,inter,right,174,[126],[110],0,0,500,375,5370
150,46,5010,inter,right,175,[150],[35; 47; 56],0,0,500,375,5010
146,110,11940,inter,right,176,[145; 157],[110],500,375,0,0,12315
203,33,5160,inter,right,177,[182; 201; 213; 225],[11; 23; 35; 54],1000,751,1000,751,5911
209,56,7830,inter,right,178,[209],[56],0,0,0,0,7830
176,21,4320,inter,right,179,[176],[10; 20],0,0,500,375,4320
128,46,12270,inter,right,180,[126; 130; 140; 150],[35; 47; 56],1000,751,500,375,13021
178,20,8010,inter,right,181,[178],[20],0,0,0,0,8010
175,49,13860,inter,right,182,[175],[49],0,0,0,0,13860
136,40,5970,inter,right,183,[137],[40],500,375,0,0,6345
228,96,12900,inter,right,184,[217; 227],[96],500,375,0,0,13275
154,93,11100,inter,right,185,[132; 144; 156; 175],[92; 104],1000,751,500,375,11851
141,84,3810,inter,right,186,[141],[85; 95],0,0,500,375,3810
161,11,5700,inter,right,187,[161],[11],0,0,0,0,5700
133,0,14250,inter,right,188,[133],[0],0,0,0,0,14250
129,16,9720,inter,right,189,[130; 140],[16],500,375,0,0,10095
180,50,4800,inter,right,190,[180],[40; 49; 58],0,0,500,375,4800
172,51,13140,inter,right,191,[180],[59],500,375,500,375,13515
142,82,9330,inter,right,192,[131; 141],[61; 80; 92; 104],500,375,1000,751,9705
191,9,8940,inter,right,193,[181],[9],500,375,0,0,9315
132,1,12120,inter,right,194,[132],[0; 12],0,0,500,375,12120
165,20,12780,inter,right,195,[175],[20],500,375,0,0,13155
178,96,11730,inter,right,196,[178],[96],0,0,0,0,11730
164,72,11850,inter,right,197,[182],[54],1000,751,1000,751,12601
154,29,7020,inter,right,198,[132; 144; 156; 175],[29],1000,751,0,0,7771
150,30,7500,inter,right,199,[150],[30],0,0,0,0,7500
164,33,7590,inter,right,200,[182],[11; 23; 35; 54],1000,751,1000,751,8341
148,40,10620,inter,right,201,[148],[40],0,0,0,0,10620
212,51,4740,inter,right,202,[212],[59],0,0,500,375,4740
151,66,11400,inter,right,203,[151],[66],0,0,0,0,11400
205,33,13410,inter,right,204,[206; 216],[11; 23; 35; 54],500,375,1000,751,13785
133,33,8730,inter,right,205,[133],[11; 23; 35; 54],0,0,1000,751,8730
