average_journey_time,average_pt_service_rate,average_intracity_journey_time,average_intercity_journey_time,pt_network_name,train_headway,bus_headway,demand_size,intra_ratio,random_seed,total_pt_cost
4813.31,1.0,,4813.31,basic,10,10,100,0,3,3084.831754632334
4613.07,1.0,,4613.07,basic,10,10,100,0,6,3084.831754632334
4682.95,1.0,,4682.95,basic,10,10,100,0,9,3084.831754632334
4383.16,0.96,2937.75,4744.5125,basic,10,10,100,20,3,3084.831754632334
4223.76,0.96,2540.65,4644.5375,basic,10,10,100,20,6,3084.831754632334
4310.55,0.96,2530.8,4755.4875,basic,10,10,100,20,9,3084.831754632334
3930.5,0.89,2727.55,4732.466666666666,basic,10,10,100,40,3,3084.831754632334
3838.78,0.94,2611.025,4657.283333333334,basic,10,10,100,40,6,3084.831754632334
3854.3,0.95,2530.875,4736.583333333333,basic,10,10,100,40,9,3084.831754632334
3532.93,0.83,2765.983333333333,4683.35,basic,10,10,100,60,3,3084.831754632334
3441.81,0.91,2615.95,4680.6,basic,10,10,100,60,6,3084.831754632334
3417.22,0.89,2556.766666666667,4707.9,basic,10,10,100,60,9,3084.831754632334
3187.7,0.8,2762.7625,4887.45,basic,10,10,100,80,3,3084.831754632334
3083.49,0.86,2716.2125,4552.6,basic,10,10,100,80,6,3084.831754632334
3016.23,0.87,2607.7125,4650.3,basic,10,10,100,80,9,3084.831754632334
4741.58,1.0,,4741.58,basic,10,10,200,0,3,3084.831754632334
4666.025,1.0,,4666.025,basic,10,10,200,0,6,3084.831754632334
4789.11,1.0,,4789.11,basic,10,10,200,0,9,3084.831754632334
4312.68,0.96,2608.225,4738.79375,basic,10,10,200,20,3,3084.831754632334
4243.835,0.975,2675.85,4635.83125,basic,10,10,200,20,6,3084.831754632334
4387.28,0.97,2583.85,4838.1375,basic,10,10,200,20,9,3084.831754632334
3903.345,0.91,2766.9,4660.975,basic,10,10,200,40,3,3084.831754632334
3862.71,0.92,2665.8625,4660.608333333334,basic,10,10,200,40,6,3084.831754632334
3960.345,0.94,2710.0625,4793.866666666667,basic,10,10,200,40,9,3084.831754632334
3508.025,0.87,2763.975,4624.1,basic,10,10,200,60,3,3084.831754632334
3446.11,0.885,2640.991666666667,4653.7875,basic,10,10,200,60,6,3084.831754632334
3543.625,0.875,2693.833333333333,4818.3125,basic,10,10,200,60,9,3084.831754632334
3098.54,0.825,2759.20625,4455.875,basic,10,10,200,80,3,3084.831754632334
3057.19,0.86,2652.08125,4677.625,basic,10,10,200,80,6,3084.831754632334
3074.13,0.825,2673.54375,4676.475,basic,10,10,200,80,9,3084.831754632334
4676.946666666667,1.0,,4676.946666666667,basic,10,10,300,0,3,3084.831754632334
4670.01,1.0,,4670.01,basic,10,10,300,0,6,3084.831754632334
4781.53,1.0,,4781.53,basic,10,10,300,0,9,3084.831754632334
4253.51,0.9566666666666668,2729.7,4634.4625,basic,10,10,300,20,3,3084.831754632334
4259.32,0.9733333333333334,2757.95,4634.6625,basic,10,10,300,20,6,3084.831754632334
4346.6866666666665,0.9533333333333334,2596.05,4784.345833333334,basic,10,10,300,20,9,3084.831754632334
3855.55,0.9033333333333332,2764.15,4583.15,basic,10,10,300,40,3,3084.831754632334
3878.29,0.92,2634.266666666667,4707.638888888889,basic,10,10,300,40,6,3084.831754632334
3901.13,0.92,2607.858333333333,4763.311111111111,basic,10,10,300,40,9,3084.831754632334
3467.786666666667,0.8566666666666667,2709.8444444444444,4604.7,basic,10,10,300,60,3,3084.831754632334
3514.083333333333,0.8966666666666666,2712.516666666667,4716.433333333333,basic,10,10,300,60,6,3084.831754632334
3456.4,0.8833333333333333,2582.1944444444443,4767.708333333333,basic,10,10,300,60,9,3084.831754632334
3078.1666666666665,0.8133333333333334,2706.5333333333333,4564.7,basic,10,10,300,80,3,3084.831754632334
3129.623333333333,0.8666666666666667,2675.958333333333,4944.283333333334,basic,10,10,300,80,6,3084.831754632334
3082.0066666666667,0.8533333333333334,2648.483333333333,4816.1,basic,10,10,300,80,9,3084.831754632334
4642.04,1.0,,4642.04,basic,10,10,400,0,3,3084.831754632334
4664.315,1.0,,4664.315,basic,10,10,400,0,6,3084.831754632334
4763.6075,1.0,,4763.6075,basic,10,10,400,0,9,3084.831754632334
4222.09,0.945,2707.0125,4600.859375,basic,10,10,400,20,3,3084.831754632334
4281.6225,0.965,2664.625,4685.871875,basic,10,10,400,20,6,3084.831754632334
4317.1825,0.965,2551.025,4758.721875,basic,10,10,400,20,9,3084.831754632334
3838.715,0.895,2724.5125,4581.516666666666,basic,10,10,400,40,3,3084.831754632334
3876.3925,0.9275,2662.3125,4685.779166666666,basic,10,10,400,40,6,3084.831754632334
3918.07,0.92,2619.46875,4783.804166666667,basic,10,10,400,40,9,3084.831754632334
3459.275,0.85,2707.045833333333,4587.61875,basic,10,10,400,60,3,3084.831754632334
3485.825,0.895,2705.6291666666666,4656.11875,basic,10,10,400,60,6,3084.831754632334
3534.36,0.91,2671.7,4828.35,basic,10,10,400,60,9,3084.831754632334
3091.2525,0.825,2733.5875,4521.9125,basic,10,10,400,80,3,3084.831754632334
3079.93,0.855,2713.44375,4545.875,basic,10,10,400,80,6,3084.831754632334
3141.535,0.85,2722.50625,4817.65,basic,10,10,400,80,9,3084.831754632334
4632.82,1.0,,4632.82,basic,10,10,500,0,3,3084.831754632334
4665.336,1.0,,4665.336,basic,10,10,500,0,6,3084.831754632334
4751.826,1.0,,4751.826,basic,10,10,500,0,9,3084.831754632334
4231.338,0.954,2693.12,4615.8925,basic,10,10,500,20,3,3084.831754632334
4262.662,0.95,2687.2,4656.5275,basic,10,10,500,20,6,3084.831754632334
4351.752,0.96,2610.94,4786.955,basic,10,10,500,20,9,3084.831754632334
3875.014,0.902,2712.04,4650.33,basic,10,10,500,40,3,3084.831754632334
3878.558,0.926,2689.815,4671.053333333333,basic,10,10,500,40,6,3084.831754632334
3961.046,0.94,2688.685,4809.286666666667,basic,10,10,500,40,9,3084.831754632334
3521.09,0.876,2717.1366666666668,4727.02,basic,10,10,500,60,3,3084.831754632334
3466.926,0.884,2669.7233333333334,4662.73,basic,10,10,500,60,6,3084.831754632334
3542.046,0.888,2750.45,4729.44,basic,10,10,500,60,9,3084.831754632334
3120.12,0.822,2732.745,4669.62,basic,10,10,500,80,3,3084.831754632334
3104.346,0.842,2666.64,4855.17,basic,10,10,500,80,6,3084.831754632334
3118.01,0.846,2724.6925,4691.28,basic,10,10,500,80,9,3084.831754632334
4650.536666666667,1.0,,4650.536666666667,basic,10,10,600,0,3,3084.831754632334
4675.661666666667,1.0,,4675.661666666667,basic,10,10,600,0,6,3084.831754632334
4751.153333333334,1.0,,4751.153333333334,basic,10,10,600,0,9,3084.831754632334
4264.845,0.945,2741.0416666666665,4645.795833333334,basic,10,10,600,20,3,3084.831754632334
4265.115,0.9533333333333334,2658.0333333333333,4666.885416666667,basic,10,10,600,20,6,3084.831754632334
4337.638333333333,0.9766666666666668,2638.458333333333,4762.433333333333,basic,10,10,600,20,9,3084.831754632334
3907.038333333333,0.9083333333333332,2726.075,4694.347222222223,basic,10,10,600,40,3,3084.831754632334
3866.861666666666,0.9183333333333332,2673.633333333333,4662.347222222223,basic,10,10,600,40,6,3084.831754632334
3930.8416666666662,0.9383333333333334,2726.020833333333,4734.055555555556,basic,10,10,600,40,9,3084.831754632334
3500.465,0.865,2733.0444444444443,4651.595833333334,basic,10,10,600,60,3,3084.831754632334
3478.025,0.8716666666666667,2669.0222222222224,4691.529166666666,basic,10,10,600,60,6,3084.831754632334
3502.33,0.885,2719.463888888889,4676.629166666667,basic,10,10,600,60,9,3084.831754632334
3110.471666666667,0.8133333333333334,2737.1604166666666,4603.716666666666,basic,10,10,600,80,3,3084.831754632334
3091.39,0.84,2680.96875,4733.075,basic,10,10,600,80,6,3084.831754632334
3089.445,0.8483333333333334,2702.6979166666665,4636.433333333333,basic,10,10,600,80,9,3084.831754632334
4659.278571428571,1.0,,4659.278571428571,basic,10,10,700,0,3,3084.831754632334
4664.468571428572,1.0,,4664.468571428572,basic,10,10,700,0,6,3084.831754632334
4735.35,1.0,,4735.35,basic,10,10,700,0,9,3084.831754632334
4286.627142857143,0.9585714285714284,2774.407142857143,4664.682142857143,basic,10,10,700,20,3,3084.831754632334
4276.122857142857,0.9557142857142856,2594.65,4696.491071428572,basic,10,10,700,20,6,3084.831754632334
4331.17,0.9614285714285714,2695.214285714286,4740.158928571429,basic,10,10,700,20,9,3084.831754632334
3905.2057142857134,0.9114285714285716,2753.917857142857,4672.730952380953,basic,10,10,700,40,3,3084.831754632334
3877.0385714285712,0.9157142857142856,2691.9464285714284,4667.1,basic,10,10,700,40,6,3084.831754632334
3921.487142857143,0.92,2738.678571428572,4710.02619047619,basic,10,10,700,40,9,3084.831754632334
3512.9585714285718,0.8557142857142858,2762.345238095238,4638.878571428571,basic,10,10,700,60,3,3084.831754632334
3497.2028571428573,0.8828571428571429,2669.116666666667,4739.332142857143,basic,10,10,700,60,6,3084.831754632334
3492.3542857142857,0.8842857142857142,2707.940476190476,4668.975,basic,10,10,700,60,9,3084.831754632334
3119.1228571428574,0.8157142857142857,2738.025,4643.5142857142855,basic,10,10,700,80,3,3084.831754632334
3126.5485714285714,0.84,2719.641071428572,4754.178571428572,basic,10,10,700,80,6,3084.831754632334
3102.7028571428573,0.8471428571428572,2689.4875,4755.564285714286,basic,10,10,700,80,9,3084.831754632334
4675.925,1.0,,4675.925,basic,10,10,800,0,3,3084.831754632334
4683.1475,1.0,,4683.1475,basic,10,10,800,0,6,3084.831754632334
4725.11875,1.0,,4725.11875,basic,10,10,800,0,9,3084.831754632334
4284.33375,0.9525,2738.825,4670.7109375,basic,10,10,800,20,3,3084.831754632334
4294.295,0.95,2640.03125,4707.8609375,basic,10,10,800,20,6,3084.831754632334
4314.605,0.96625,2677.675,4723.8375,basic,10,10,800,20,9,3084.831754632334
3890.66875,0.9025,2763.703125,4641.979166666667,basic,10,10,800,40,3,3084.831754632334
3888.12,0.91875,2681.415625,4692.589583333333,basic,10,10,800,40,6,3084.831754632334
3898.61875,0.92375,2697.3875,4699.439583333334,basic,10,10,800,40,9,3084.831754632334
3484.82875,0.855,2746.804166666667,4591.865625,basic,10,10,800,60,3,3084.831754632334
3517.60375,0.88125,2731.79375,4696.31875,basic,10,10,800,60,6,3084.831754632334
3467.57,0.885,2683.675,4643.4125,basic,10,10,800,60,9,3084.831754632334
3119.92875,0.805,2741.3609375,4634.2,basic,10,10,800,80,3,3084.831754632334
3131.73625,0.845,2728.6890625,4743.925,basic,10,10,800,80,6,3084.831754632334
3078.09,0.84375,2680.803125,4667.2375,basic,10,10,800,80,9,3084.831754632334
4669.127777777778,1.0,,4669.127777777778,basic,10,10,900,0,3,3084.831754632334
4682.947777777777,1.0,,4682.947777777777,basic,10,10,900,0,6,3084.831754632334
4719.266666666666,1.0,,4719.266666666666,basic,10,10,900,0,9,3084.831754632334
4275.352222222222,0.9466666666666668,2785.222222222222,4647.884722222222,basic,10,10,900,20,3,3084.831754632334
4292.4077777777775,0.9566666666666668,2713.927777777778,4687.027777777777,basic,10,10,900,20,6,3084.831754632334
4295.204444444445,0.9611111111111112,2648.3555555555554,4706.916666666667,basic,10,10,900,20,9,3084.831754632334
3894.9411111111112,0.9077777777777778,2759.7916666666665,4651.707407407407,basic,10,10,900,40,3,3084.831754632334
3913.1722222222224,0.9266666666666666,2697.2833333333333,4723.764814814815,basic,10,10,900,40,6,3084.831754632334
3884.4566666666665,0.9255555555555556,2700.8416666666667,4673.533333333334,basic,10,10,900,40,9,3084.831754632334
3508.9166666666665,0.8566666666666667,2756.411111111111,4637.675,basic,10,10,900,60,3,3084.831754632334
3521.826666666667,0.89,2734.301851851852,4703.113888888889,basic,10,10,900,60,6,3084.831754632334
3475.882222222222,0.8777777777777778,2683.5685185185184,4664.352777777778,basic,10,10,900,60,9,3084.831754632334
3128.8233333333333,0.8088888888888889,2736.801388888889,4696.911111111112,basic,10,10,900,80,3,3084.831754632334
3119.983333333333,0.8566666666666667,2733.9236111111118,4664.222222222223,basic,10,10,900,80,6,3084.831754632334
3079.455555555556,0.8455555555555555,2675.238888888889,4696.322222222222,basic,10,10,900,80,9,3084.831754632334
4677.529,1.0,,4677.529,basic,10,10,1000,0,3,3084.831754632334
4690.87,1.0,,4690.87,basic,10,10,1000,0,6,3084.831754632334
4702.842,1.0,,4702.842,basic,10,10,1000,0,9,3084.831754632334
4285.408,0.943,2810.53,4654.1275,basic,10,10,1000,20,3,3084.831754632334
4297.052,0.965,2676.12,4702.285,basic,10,10,1000,20,6,3084.831754632334
4293.867,0.967,2668.76,4700.14375,basic,10,10,1000,20,9,3084.831754632334
3872.554,0.906,2748.72,4621.776666666667,basic,10,10,1000,40,3,3084.831754632334
3915.645,0.93,2738.6475,4700.31,basic,10,10,1000,40,6,3084.831754632334
3869.373,0.925,2674.98,4665.635,basic,10,10,1000,40,9,3084.831754632334
3502.075,0.857,2742.7816666666668,4641.015,basic,10,10,1000,60,3,3084.831754632334
3520.39,0.896,2746.6583333333333,4680.9875,basic,10,10,1000,60,6,3084.831754632334
3463.295,0.889,2662.9283333333333,4663.845,basic,10,10,1000,60,9,3084.831754632334
3122.374,0.81,2732.335,4682.53,basic,10,10,1000,80,3,3084.831754632334
3118.237,0.848,2724.34625,4693.8,basic,10,10,1000,80,6,3084.831754632334
3071.158,0.845,2669.045,4679.61,basic,10,10,1000,80,9,3084.831754632334
5113.31,1.0,,5113.31,basic,20,10,100,0,3,3084.831754632334
4913.07,1.0,,4913.07,basic,20,10,100,0,6,3084.831754632334
4964.95,1.0,,4964.95,basic,20,10,100,0,9,3084.831754632334
4635.16,0.96,2937.75,5059.5125,basic,20,10,100,20,3,3084.831754632334
4469.76,0.96,2540.65,4952.0375,basic,20,10,100,20,6,3084.831754632334
4514.55,0.96,2530.8,5010.4875,basic,20,10,100,20,9,3084.831754632334
4122.5,0.89,2727.55,5052.466666666666,basic,20,10,100,40,3,3084.831754632334
4024.78,0.94,2611.025,4967.283333333334,basic,20,10,100,40,6,3084.831754632334
4004.3,0.95,2530.875,4986.583333333333,basic,20,10,100,40,9,3084.831754632334
3640.93,0.83,2765.983333333333,4953.35,basic,20,10,100,60,3,3084.831754632334
3567.81,0.91,2615.95,4995.6,basic,20,10,100,60,6,3084.831754632334
3507.22,0.89,2556.766666666667,4932.9,basic,20,10,100,60,9,3084.831754632334
3265.7,0.8,2762.7625,5277.45,basic,20,10,100,80,3,3084.831754632334
3167.49,0.86,2716.2125,4972.6,basic,20,10,100,80,6,3084.831754632334
3070.23,0.87,2607.7125,4920.3,basic,20,10,100,80,9,3084.831754632334
5053.58,1.0,,5053.58,basic,20,10,200,0,3,3084.831754632334
4963.025,1.0,,4963.025,basic,20,10,200,0,6,3084.831754632334
5068.11,1.0,,5068.11,basic,20,10,200,0,9,3084.831754632334
4570.68,0.96,2608.225,5061.29375,basic,20,10,200,20,3,3084.831754632334
4471.835,0.975,2675.85,4920.83125,basic,20,10,200,20,6,3084.831754632334
4615.28,0.97,2583.85,5123.1375,basic,20,10,200,20,9,3084.831754632334
4104.345,0.91,2766.9,4995.975,basic,20,10,200,40,3,3084.831754632334
4045.71,0.92,2665.8625,4965.608333333334,basic,20,10,200,40,6,3084.831754632334
4125.345,0.94,2710.0625,5068.866666666667,basic,20,10,200,40,9,3084.831754632334
3631.025,0.87,2763.975,4931.6,basic,20,10,200,60,3,3084.831754632334
3563.11,0.885,2640.991666666667,4946.2875,basic,20,10,200,60,6,3084.831754632334
3642.625,0.875,2693.833333333333,5065.8125,basic,20,10,200,60,9,3084.831754632334
3155.54,0.825,2759.20625,4740.875,basic,20,10,200,80,3,3084.831754632334
3117.19,0.86,2652.08125,4977.625,basic,20,10,200,80,6,3084.831754632334
3119.13,0.825,2673.54375,4901.475,basic,20,10,200,80,9,3084.831754632334
